Mean,[0.2104036808013916]
Std,[0.958195149898529]
Mean,[0.13361860811710358]
Std,[0.9130297303199768]
Mean,[0.08052347600460052]
Std,[0.938607931137085]
Mean,[0.20342260599136353]
Std,[0.9096051454544067]
Mean,[0.24503977596759796]
Std,[0.9457436800003052]
Mean,[0.0645899772644043]
Std,[1.0088317394256592]
Mean,[0.04596995934844017]
Std,[0.9502702951431274]
Mean,[0.18523165583610535]
Std,[0.9261072874069214]
Mean,[0.13577523827552795]
Std,[0.9480339288711548]
Mean,[0.13227735459804535]
Std,[1.0816861391067505]
Mean,[0.12945806980133057]
Std,[0.9924259185791016]
Mean,[0.23800526559352875]
Std,[0.9018654227256775]
Mean,[0.12535187602043152]
Std,[1.0058085918426514]
Mean,[0.1616121381521225]
Std,[0.9367951154708862]
Mean,[0.17845267057418823]
Std,[1.0116171836853027]
Mean,[0.035498376935720444]
Std,[0.9873783588409424]
Mean,[0.08750244975090027]
Std,[0.9678422808647156]
Mean,[0.20623210072517395]
Std,[0.911800742149353]
Mean,[0.17801910638809204]
Std,[0.9937905073165894]
Mean,[0.13925205171108246]
Std,[1.0463345050811768]
Mean,[0.1008119210600853]
Std,[0.9500857591629028]
Mean,[0.09721779078245163]
Std,[0.997455894947052]
Mean,[0.1300322413444519]
Std,[0.9837633967399597]
Mean,[0.15845215320587158]
Std,[0.9679198265075684]
Mean,[0.09582772850990295]
Std,[1.0117689371109009]
Mean,[0.043359749019145966]
Std,[0.9918774366378784]
Mean,[0.06626080721616745]
Std,[1.0458974838256836]
Mean,[0.1280004382133484]
Std,[1.0158265829086304]
Mean,[0.1423829048871994]
Std,[1.0260486602783203]
Mean,[0.15170107781887054]
Std,[0.9866383671760559]
Mean,[0.1365259438753128]
Std,[0.9723665118217468]
Mean,[0.1173308789730072]
Std,[1.0001283884048462]
Mean,[0.11623113602399826]
Std,[1.0164031982421875]
Mean,[0.1313382089138031]
Std,[1.0587098598480225]
Mean,[0.13406050205230713]
Std,[1.0266246795654297]
Mean,[0.09004297852516174]
Std,[1.017259955406189]
Mean,[0.15985411405563354]
Std,[0.9903781414031982]
Mean,[0.10660983622074127]
Std,[1.00218665599823]
Mean,[0.14009049534797668]
Std,[1.010579228401184]
Mean,[0.11139334738254547]
